,Nombre,Título,Fecha,Rating,Reviews,Tipo
12,"Tibetano ""Poke & Sushi Bar""",Buena alternativa para comer sushi,10 de mayo de 2019,50,"Tiene variedad de sushi. Es autoservicio, Práctico, rápido. Buena presentación, atención y es delicioso. Buenos precios. Este fue el sushi dinamita con palmitos de cangrejo súper recomendado.","RANGO DE PRECIOS
$ 5 - $ 25.000
TIPOS DE COMIDA
Japonesa, Sushi
COMIDAS
Almuerzo, Cena, Brunch, Bebidas"
13,Sopas De Mama,Recuerdo con mamá,13 de julio de 2018,50,Una comida con sabor a recuerdos. El.menu es variado y casero. Muy familiar. Las instalaciones son hogareñas,"TIPOS DE COMIDA
Sudamericana, Colombiana"
14,Sierra Nevada Hamburguesas y Malteadas,Vacaciones,26 de mayo de 2018,50,"Estas hamburguesas están deliciosas y yo que como pocas cantidades quede feliz porq tienen para elegir poca o mucha hambre y de ahí escoges tu menú , además mi sobrina pudo escoger menú vegetariano 👏🏻 Felicidades recomendado para toda la Familia","RANGO DE PRECIOS
$ 5 - $ 15
TIPOS DE COMIDA
Comida rápida, Contemporánea, Colombiana
COMIDAS
Almuerzo, Cena"
15,La Stradina,Muy bueno,22 de abril de 2019,40,"El ambiente es agradable; el espacio, relativamente grande; las sillas, incomodas después de un rato. Pedí un Risotto Funghi, estuvo delicioso. Llegué por accidente, pero valió la pena.","RANGO DE PRECIOS
$ 6 - $ 15
TIPOS DE COMIDA
Italiana, Pizzería, Internacional, Mediterránea
COMIDAS
Desayuno, Almuerzo, Cena, Bebidas"
16,La Romana: Carrera 7,Lugar especial de cafes.,5 de marzo de 2020,40,"El sitio , ameno con un excelente sabor de sus diferentes cafes, en especial y maximo su buena preparacion , es de saborear el buen cafe colombiano.","RANGO DE PRECIOS
$ 20.000 - $ 50.000
TIPOS DE COMIDA
Italiana
COMIDAS
Desayuno, Almuerzo"
17,La Romana: Carrera 7,RESTAURANTE DE TRADICIÓN.,11 de diciembre de 2019,40,"MENÚ de buen contenido. Todos quedamos satisfechos con los platos. Excelente pollo a la cazadora. Los acompañamientos bien. Recomendable en el sector. Relación precio, cantidad sabor: 3,5 puntos. ATENCIÓN excelente. Lo malo mesas estrechas.","RANGO DE PRECIOS
$ 20.000 - $ 50.000
TIPOS DE COMIDA
Italiana
COMIDAS
Desayuno, Almuerzo"
18,Sagal,Carnes finas,2 de julio de 2019,50,"Muy buena carta, las carnes son suficientes, trae ensalada aparte y acompañamientos, bebidas de buen precio. En relacion con La Biferia es de muy buena calidad y por menor precio.","TIPOS DE COMIDA
Parrilla, Churrasquería"
19,Sagal,Cumpleaños,26 de junio de 2019,10,"Terribleeeee, el servicio es pésimo, malo, el vino lo traen servido, la comida fría y cero recomendado!!!","TIPOS DE COMIDA
Parrilla, Churrasquería"
20,Sagal,Carne espectacular,31 de diciembre de 2018,50,"Fuimos con mi pareja, escogimos platos de 350 gramos, la carne estaba al término en que lo solicitamos, venía con patacón o papa al vapor dependiendo la carne, estaba delicioso.","TIPOS DE COMIDA
Parrilla, Churrasquería"
21,Sagal,Muy bien,14 de agosto de 2018,40,"Lo visité un fin de semana y no debí esperar porque el servicio es bueno y rápido. Pedí lomitos de cerdo en salsa de Maracuya y lomo de cuadril, ambos con excelente sabor! El precio de los platos en promedio es de $30.000 pesos. Recomendado!!","TIPOS DE COMIDA
Parrilla, Churrasquería"
22,Fit Or Fat Shakes,En forma o grasa batidos lugar increíble!,19 de mayo de 2018,50,Un buen lugar para pasar el tiempo y probar un buen batido o jugo. Recomiendo este lugar es delicioso?,"TIPOS DE COMIDA
Estadounidense, Bar, Café, Comida rápida, Internacional, Pub"
23,Bogota Gospel & Wok,Muy bueno,30 de noviembre de 2015,40,"Excelente lugar, su ambientacion con musica, la amabilidad de sus empleados y el buen gusto que tiene la comida. Satisfecho.","TIPOS DE COMIDA
China, Fusión, Sudamericana"
24,Pastelería Roma,Cheescake de limón,15 de mayo de 2018,50,Bellamente presentada y deliciosa porción de cheescake de limón. ¡Había pasteles en el estuche que se veían tan hermosos!,"TIPOS DE COMIDA
Latina, Española"
25,La Monferrina 93,rico,3 de diciembre de 2015,40,"este restaurante es de comida italiana pastas etc, tienen un buen sabor y el pan que las acompaña muy rico","TIPOS DE COMIDA
Italiana
COMIDAS
Almuerzo, Cena"
26,La Monferrina 93,Bueno,31 de mayo de 2015,40,"Esta Ubicado cerca al parque de la 93 es un restaurante agradable, su especialidad son las pastas y ensaladas, pero también te ofrecen otros platos la atencion es buena y los platos son ricos.","TIPOS DE COMIDA
Italiana
COMIDAS
Almuerzo, Cena"
27,Kampai Asian Bistro Zona G,Sorprendido!,3 de diciembre de 2018,50,"Me sorprendió la calidad del sushi de este restaurante. De los mejores de Bogotá. Se nota que lo hacen con ingredientes frescos, a diferencia de muchos otros sitios que venden sushi. El postre de helado tempura también buenísimo!","RANGO DE PRECIOS
$ 7 - $ 40
TIPOS DE COMIDA
Sushi
COMIDAS
Almuerzo, Cena, Bebidas"
28,Kampai Asian Bistro Zona G,¡Menú delicioso!,27 de noviembre de 2018,50,Compartí con dos amigas en Kampai y nos encantó. Además hacen promociones buenísimas. ¡Súper recomendados!,"RANGO DE PRECIOS
$ 7 - $ 40
TIPOS DE COMIDA
Sushi
COMIDAS
Almuerzo, Cena, Bebidas"
29,Hacienda la Margarita,Demasiado costoso,16 de febrero de 2021,30,"Demasiado costoso y la calidad de la comida no está ala altura del sitio, los baños descuidados y mala ventilación.","TIPOS DE COMIDA
Colombiana
CARACTERÍSTICAS
Reservas, Estacionamiento disponible, Asiento, Estacionamiento para clientes, Sirve alcohol, Servicio de mesa"
30,Hacienda la Margarita,Cumpleaños,31 de enero de 2020,50,"Excelente servicio,atención con mi hijo en su cumpleaños. La comida muy rica variedad de platos.y lo mejor el show con los caballos espectacular. Y no fue costoso.","TIPOS DE COMIDA
Colombiana
CARACTERÍSTICAS
Reservas, Estacionamiento disponible, Asiento, Estacionamiento para clientes, Sirve alcohol, Servicio de mesa"
31,Hacienda la Margarita,Pésimo lugar.,26 de julio de 2019,10,"Todo el personal es grosero, la música aburrida y desordenada, nunca tenían cambio para el pago en efectivo. Muy mala experiencia, no volvería ni lo recomiendo.","TIPOS DE COMIDA
Colombiana
CARACTERÍSTICAS
Reservas, Estacionamiento disponible, Asiento, Estacionamiento para clientes, Sirve alcohol, Servicio de mesa"
32,BEER,Beer,5 de mayo de 2018,50,"Genial tiene actividades, dados, minifootball etc.. El servicio es lento pero el lugar esta genial..","TIPOS DE COMIDA
Sudamericana, Colombiana"
33,Lalo Cocina Tradición,"Sitio Agradable, Sobrio, Elegante, buena comida.",16 de abril de 2018,50,"Mi experiencia fue grata, las instalaciones son agradables de muy buen gusto, el ambiente es ameno y tranquilo, buena ambientación de la música, me ubique en la terraza buena vista, deguste un excelente plato de salmon en salsa de maracuya, un exquisito plato recomendadisimo.","TIPOS DE COMIDA
Café, Fuente de soda, Sudamericana, Colombiana"
34,Sg Salchipapa Gourmet,Buen Precio,9 de noviembre de 2018,30,"Buena opción para comprar a altas horas de la noche, pero en mi gusto le falta algo de sabor a la comida","RANGO DE PRECIOS
$ 9.900 - $ 40.000
TIPOS DE COMIDA
Comida rápida, Sudamericana, Colombiana"
35,Sg Salchipapa Gourmet,Comidas rapidas costeñas,14 de mayo de 2018,50,"Fuimos en familia, la salsa de casa estuvo super, se siente el sabor costeño Super las hamburguesas y las salchipapas me sentí como en la costa","RANGO DE PRECIOS
$ 9.900 - $ 40.000
TIPOS DE COMIDA
Comida rápida, Sudamericana, Colombiana"
36,Restaurante Dare,Gran servicio,11 de febrero de 2020,50,El restaurante Dare tiene una deliciosa carta y un excelente servicio. Y lo mejor el precio es buenísimo.,"TIPOS DE COMIDA
Italiana"
37,Restaurante Dare,"Bueno, bonito y barato!!",19 de enero de 2020,40,"El lugar es agradable,la comida es rica, sin ser algo extraordinaria y a un muy buen precio. Por mejorar el servicio que no es de lo mejor.","TIPOS DE COMIDA
Italiana"
38,Restaurante Dare,Mala elección,23 de mayo de 2019,10,"La comida es muy mala la sirven fría, sin sal, sin gusto, sin amor por lo que hacen. los meseros parecen que no les importará sin dedicación. No lo recomiendo.","TIPOS DE COMIDA
Italiana"
39,Pizza 1969,muy rica,13 de abril de 2019,50,"es de las mejores pizzas de bogota, es un poco costosa, pero para el lugar en el que esta ubicado el local y la calidad de pizza que venden el precio es adecuado","TIPOS DE COMIDA
Pizzería
COMIDAS
Cena
CARACTERÍSTICAS
Comida para llevar, Entrega a domicilio"
40,Pizza 1969,Los meseros la quebraron los meseros,28 de octubre de 2018,10,Los meseros no atendían bien lastimosamente un buen lugar buena ambientación pero el peor servicio se imponían propinas a lo malditasea,"TIPOS DE COMIDA
Pizzería
COMIDAS
Cena
CARACTERÍSTICAS
Comida para llevar, Entrega a domicilio"
41,Pizza 1969,Decepción.,15 de julio de 2018,30,"Era una pizza excelente, supongo que la paulatina desaparición de las sucursales es producto de algún problema de la empresa. Lástima,era una buena pizza.","TIPOS DE COMIDA
Pizzería
COMIDAS
Cena
CARACTERÍSTICAS
Comida para llevar, Entrega a domicilio"
42,Pizza 1969,Vendieron la empresa,25 de febrero de 2018,10,"El supuesto dueño Eduardo Cabrera, fuera de tratar mal a sus empleado, evadía impuestos y la DIAN tuvo que actuar, bien hecho! JUSTICIA!","TIPOS DE COMIDA
Pizzería
COMIDAS
Cena
CARACTERÍSTICAS
Comida para llevar, Entrega a domicilio"
43,Pizza 1969,una de las mejores,24 de noviembre de 2016,40,La pizza de este lugar es muy buena tiene un toque especial y ademas tiene una variedad muy gourmet para escoger y satisfacer cualquier exigencia.,"TIPOS DE COMIDA
Pizzería
COMIDAS
Cena
CARACTERÍSTICAS
Comida para llevar, Entrega a domicilio"
44,Pizza 1969,Me gusta su variedad,19 de noviembre de 2016,40,Una pizzería más en Bogotá que hace unos años tuvo un buen concepto pero por la competencia ha ido perdiendo clientes. Me gusta qué hay gran variedad de sabores y mezclas de pizza. Es servicio es bueno y antes sus locales eran muy bien ambientados.,"TIPOS DE COMIDA
Pizzería
COMIDAS
Cena
CARACTERÍSTICAS
Comida para llevar, Entrega a domicilio"
45,Pizza 1969,Simplemente de las mejores pizzas que he comido,22 de octubre de 2016,40,"Ir a 1969 es una gran experiencia, tienen una de las mejores pizzas de Bogotá. La variedad de la carta es tan amplía, pero mi recomendada es la del huerto!","TIPOS DE COMIDA
Pizzería
COMIDAS
Cena
CARACTERÍSTICAS
Comida para llevar, Entrega a domicilio"
46,Pizza 1969,Ya no es lo mismo,26 de julio de 2016,20,"Lastima, recuerdo esta pizza como era de rica, ya no es lo mismo, los precios no son iguales y la pizza no es igual","TIPOS DE COMIDA
Pizzería
COMIDAS
Cena
CARACTERÍSTICAS
Comida para llevar, Entrega a domicilio"
47,La Cafetería 7-54,Muy agradable,25 de marzo de 2018,50,Muy buena atención y ricas opciones. Buen café y buena cerveza artesanal. Me gustó mucho el ambiente y la decoración.,"RANGO DE PRECIOS
$ 14.493 - $ 21.739
TIPOS DE COMIDA
Cervecería, Café, Comida rápida, Contemporánea, Saludable
COMIDAS
Desayuno, Almuerzo, Brunch, Bebidas"
48,Oye Pez!,Mala comida,19 de febrero de 2020,10,"Muy costoso la comida no esta rica. 16 mil por poco pollo, vegetales y pasta esta exagerada. Mejor ir a wokanori o wok que quedan pocos cuadras!","RANGO DE PRECIOS
$ 9 - $ 27
TIPOS DE COMIDA
Japonesa, Peruana, Sushi, Saludable, Sudamericana
COMIDAS
Almuerzo, Cena"
49,Xocolat And More,Me gustó la experiencia,27 de septiembre de 2020,50,Postres deliciosos y un excelente chocolate ambiente agradable y muy buena atención comer algo delicioso y sin culpa es una buena experiencia felicidades,"RANGO DE PRECIOS
$ 10.000 - $ 25.000
TIPOS DE COMIDA
Café, Saludable"
50,Xocolat And More,"Me gusta el lugar, tiene muchas",22 de febrero de 2020,50,"Me gusta el lugar, tiene muchas opciones de postres dieteticos! Tienen opciones Keto y opciones veganas! Excelente lugar! Buen cafe","RANGO DE PRECIOS
$ 10.000 - $ 25.000
TIPOS DE COMIDA
Café, Saludable"
51,Mercado San Angel,Vibrante,22 de enero de 2018,50,"Es un lugar mágico donde puedes encontrar arte y buenos restaurantes, te encanta preguntar, caminar hasta la Plaza de San Jacinto y comer en los diferentes lugares de tacos que encontrarás por todas partes. Un buen momento para visitar es alrededor de la 1 pm","RANGO DE PRECIOS
$ 4.900 - $ 14.800
TIPOS DE COMIDA
Cervecería, Café, Comida rápida, Pub, Bar de vinos, Sudamericana, Colombiana"
52,Producto Nacional Restaurante,Sabores locales,18 de enero de 2018,50,"Sabores locales, platos típicos no tan convencionales. Cocina de autor con ingredientes netamente colombianos comprados en las fincas directamente del productor.","TIPOS DE COMIDA
Comida rápida, Comida de calle, Sudamericana, Colombiana"
53,Chipi Chilango,"Agradable, bonito, sabroso y bien atendido.",10 de enero de 2018,50,"Es un restaurante tranquilo, agradable, con un mobiliario adecuado para comer de manera cómoda. La comida es deliciosa, con un sabor genuino e intenso. La atención es profesional, educada y rápida.","COMIDAS
Almuerzo"
54,Antonelly,Buena relación calidad precio,9 de noviembre de 2018,40,"Buen sitio para sentarse con sus amigos de trabajo y compartir de buena comida a muy buen precio. El sitio es limpio, atienden rápido y hay gran variedad de platos. Recomendado!!!","TIPOS DE COMIDA
Sudamericana, Colombiana
CARACTERÍSTICAS
Reservas"
55,Antonelly,Buen restaurante,7 de agosto de 2018,30,Buen restaurante. Variedad de platos. Buen servicio y relación precio/calidad. El restaurante es muy amplio. Me gusta el 2o piso,"TIPOS DE COMIDA
Sudamericana, Colombiana
CARACTERÍSTICAS
Reservas"
56,Don Sushero,Buena comida,15 de septiembre de 2017,40,"buena propuesta gastronomica, fusion asiatica - peruana, un relativo equilibrio de precios pociones pequeñas","RANGO DE PRECIOS
$ 6.000 - $ 27.000
TIPOS DE COMIDA
Peruana, Latina, Española, Asiática, Fusión, Sudamericana"
57,Don Sushero,Una cena fusión,24 de junio de 2017,40,"El lugar fue concebido para hacernos sentir como en los años 70's. Un ambiente retro, en el que se fusionan sabores e ingredientes colombianos, peruanos y japoneses. Se les abona el hecho de que adaptaron el lugar y no improvisaron.","RANGO DE PRECIOS
$ 6.000 - $ 27.000
TIPOS DE COMIDA
Peruana, Latina, Española, Asiática, Fusión, Sudamericana"
58,Industrias Royal,Buen pan y buenos pasteles de carne y pollo,27 de enero de 2017,30,"Es un lugar para universitarios, sus pasteles de carne y pollo son muy buenos, le hace falta un lugar para sentarse y disfrutar de sus productos, tambien hacen un buen pan","TIPOS DE COMIDA
Café, Europea, Sudamericana, Colombiana
COMIDAS
Desayuno, Almuerzo, Cena
CARACTERÍSTICAS
Comida para llevar, Asiento, Estacionamiento disponible, Estacionamiento en la calle, Estacionamiento privado gratis, Solo pago en efectivo"
59,Industrias Royal,El cafe y los pasteles más ricos,2 de septiembre de 2014,50,"Es un lugar ideal para comer algo en la tarde, el sabor de los pasteles es muy bueno. ademas el cafe es de alta calidad. si quieren algo dulce los celestiales son deliciosos.","TIPOS DE COMIDA
Café, Europea, Sudamericana, Colombiana
COMIDAS
Desayuno, Almuerzo, Cena
CARACTERÍSTICAS
Comida para llevar, Asiento, Estacionamiento disponible, Estacionamiento en la calle, Estacionamiento privado gratis, Solo pago en efectivo"
60,La Lucha Sanguchería Criolla Plaza Claro,Deliciosa desicion,10 de agosto de 2019,50,"Excelente variedad de tortas, ricas y deliciosas , no dejen de probar las papas en cascos, muy caseras y rematar con un chicha morada, plan para estar solo o acompañado.","RANGO DE PRECIOS
$ 5 - $ 20
TIPOS DE COMIDA
Peruana, Sudamericana"
61,La Lucha Sanguchería Criolla Plaza Claro,Almuerzo de trabajo,13 de abril de 2019,30,"Caro y muy pero muy regular , realmente los sándwich son pequeños y se te ocurre pedirlo en cama de lechuga quedas como si no hubieras comido nada. La atención es aceptable y rápida El sitio y sus mesas es incómodo No lo recomiendo","RANGO DE PRECIOS
$ 5 - $ 20
TIPOS DE COMIDA
Peruana, Sudamericana"
62,Food By Foodies,Sorprendente,30 de diciembre de 2019,50,"Aunque tienen unas excelentes hamburguesas, hay dos platos que fueron fascinantes, uno las alas de cerdo en salsa bbq y lo segundo el pernil de cerdo ahumado","RANGO DE PRECIOS
$ 12.000 - $ 25.000
TIPOS DE COMIDA
Fusión"
63,Food By Foodies,"Mala expriencia, no volveria",3 de diciembre de 2018,10,"El restaurante es agradable, pero los procesos de elaboración y atención al cliente dejan mucho que desear. tampoco habían varios productos.","RANGO DE PRECIOS
$ 12.000 - $ 25.000
TIPOS DE COMIDA
Fusión"
64,Food By Foodies,Master Burguer,9 de junio de 2018,50,"Buen servicio, limpio, muy buena calidad en los productos, precios accesibles, una buena presentación.","RANGO DE PRECIOS
$ 12.000 - $ 25.000
TIPOS DE COMIDA
Fusión"
65,Casa Bolero,Es Botero,18 de septiembre de 2012,50,"Además de sus obras, están exhibidas las piezas de su colección privada, lo que enriquece aún más el museo","TIPOS DE COMIDA
Sudamericana, Colombiana"
66,Casa Bolero,Una delicia,17 de noviembre de 2012,50,Fuimos a Macdonalds hoy. La comida es alucinante. servicio increíble. Debe comer! Me gustaría que fuesen tan bueno en Australia.,"TIPOS DE COMIDA
Sudamericana, Colombiana"
67,El Tablazo Parrilla Picnic,No volveré,8 de diciembre de 2020,20,"Sitio muy lindo, cerca, agradable, pésima comida, pésimo servicio, fui, lo conocí, no volveré, no lo recomiendo","TIPOS DE COMIDA
Parrillada, Parrilla, Sudamericana, Colombiana"
68,El Tablazo Parrilla Picnic,Pet Friendly,27 de noviembre de 2020,50,Es el sitio perfecto para compartir en familia en un lugar campestre sin salir de Bogotá. La comida también es deliciosa y tiene una zona verde para caminar sin preocupaciones por el distanciamiento.,"TIPOS DE COMIDA
Parrillada, Parrilla, Sudamericana, Colombiana"
69,El Tablazo Parrilla Picnic,Almuerzo en familia,25 de octubre de 2020,30,"Comida aceptable, atención mala, no tenian comida vegetariana a pesar que se solicito con anticipación a la reserva","TIPOS DE COMIDA
Parrillada, Parrilla, Sudamericana, Colombiana"
70,El Tablazo Parrilla Picnic,Desorganización total,27 de septiembre de 2020,10,"Aunque el sitio es agradable el servicio es terrible: no respetaron la reserva hecha, mas de 30 minutos haciendo fila para hacer el pedido, los pedidos estaban retrasadísimos...desistimos y nos fuimos para otro sitio.","TIPOS DE COMIDA
Parrillada, Parrilla, Sudamericana, Colombiana"
71,El Tablazo Parrilla Picnic,Espectacular!!,20 de febrero de 2020,50,"Comida deliciosa y el sitio impecable! Muy recomendado. Puedes ir con tu familia, hay un parque para niñis inmenso.","TIPOS DE COMIDA
Parrillada, Parrilla, Sudamericana, Colombiana"
72,Heladería Mis Abuelos Sede Bogotá,Una Delicia,2 de octubre de 2017,50,Son espectaculares los recomiendo. Volveré muy buena atención y gran variedad. También encontré Helados con Stevia de exquisito sabor,"RANGO DE PRECIOS
$ 1.000 - $ 4.500
TIPOS DE COMIDA
Sudamericana, Colombiana"
73,La Albondiguería,Un sitio encantador,22 de septiembre de 2017,50,"Es una delicia. Las mejores albondigas de Bogota. Muy buen servicio y precio. Tienen mucha variedad de albóndigas acompañadas de diferentes salsas y ensaladas. Mexicanas, zuecas, De la Casa y muchas más.","RANGO DE PRECIOS
$ 5.000 - $ 21.000
TIPOS DE COMIDA
Internacional, Contemporánea, Fuente de soda"
74,El Hornillo,El Hornillo,22 de septiembre de 2017,50,"Muy saludable y rico. El sándwich ""EL HORNILLO"" es de tajadas de pavo al horno. Es grande y delicioso.","RANGO DE PRECIOS
$ 7.800 - $ 17.500
TIPOS DE COMIDA
Estadounidense, Chilena, Sudamericana, Colombiana"
75,El Irani Khoroke Golshan,Excelente comida del medio oriente,15 de septiembre de 2017,50,"La mejor comida rapida del medio oriente, atendido por el propietario persa, muy recomendado el lavosh todo desde la tortilla realizada de forma artesanal, fantastico","RANGO DE PRECIOS
$ 3.000 - $ 15.000
TIPOS DE COMIDA
Del Medio Oriente, Persa"
76,Cerveceria Lateral Calle 81,Buena Cerveza y Ambiente!,8 de julio de 2017,50,Gran lugar para ir a tomarse una cerveza con amigos a unas pocas cuadras de la zona rosa de Bogotá! Tienen una cerveza de la casa que es una verdadera cerveza artesanal y la atención es muy buena.,"COMIDAS
Almuerzo, Cena"
77,El Corral Gourmet,hamburguesas gourmet,12 de agosto de 2019,50,"para compartir buenos platos, buen ambiente y precios accesibles sabores delicioso y servicio con calidad a toda hora","RANGO DE PRECIOS
$ 5.000 - $ 300.000
TIPOS DE COMIDA
Mexicana, Estadounidense, Mediterránea, Sudamericana, Centroamericana"
78,El Corral Gourmet,Hace rato no es lo que solía ser,21 de junio de 2019,10,"Iba para cine y no habíamos almorzado, decidí darle una oportunidad a un antiguo conocido. Pésima decisión, comida mala y cara, servicio malo y demorado... definitivamente ya no es lo que solía ser.","RANGO DE PRECIOS
$ 5.000 - $ 300.000
TIPOS DE COMIDA
Mexicana, Estadounidense, Mediterránea, Sudamericana, Centroamericana"
79,El Corral Gourmet,bueno y variado,4 de junio de 2019,40,"aca podemos venir toda la familia a comer, hay de todo y para todos muy sabroso los precios un poco altos pero no tanto buen carne, hamburguesas ensaladas, excelente ambiente, musica esplendida","RANGO DE PRECIOS
$ 5.000 - $ 300.000
TIPOS DE COMIDA
Mexicana, Estadounidense, Mediterránea, Sudamericana, Centroamericana"
80,El Corral Gourmet,Almuerzo,7 de abril de 2019,20,"Hace mucho tiempo no iba al corral Gourmet, la carta bastante desmejorada la comida (hamburguesas premiun) sin sabor desmejoradas y costosas La cuenta de 4 personas fue alrededor de 200 mil pesos","RANGO DE PRECIOS
$ 5.000 - $ 300.000
TIPOS DE COMIDA
Mexicana, Estadounidense, Mediterránea, Sudamericana, Centroamericana"
81,El Corral Gourmet,Gran experiencia,7 de agosto de 2019,50,"El concepto del Gourmet es un lugar más agradable, con excelentes asientos, la misma comida con opciones más exquisitas.","RANGO DE PRECIOS
$ 5.000 - $ 300.000
TIPOS DE COMIDA
Mexicana, Estadounidense, Mediterránea, Sudamericana, Centroamericana"
82,Level One Cafe,Excelente!!!!,30 de agosto de 2017,50,"Un café de primera, alimentos de excelente calidad y mucho cuidado para prepararlos. Un gran servicio. Sin duda una gran opción en el área del Parque 93.","RANGO DE PRECIOS
$ 2 - $ 8
TIPOS DE COMIDA
Café, Fusión
COMIDAS
Brunch, Bebidas, Desayuno, Almuerzo, Cena"
83,Sabor Antioqueño,Una frijolada difícil de superar,20 de julio de 2017,50,"Ellos tienen un menú del día que es muy bueno. Sin embargo, casi siempre opto por la frijolada porque es deliciosa. Las porciones son abundantes, el servicio es muy bueno y el precio bastante cómodo.","TIPOS DE COMIDA
Sudamericana, Colombiana"
84,La Casona de Luis,Bueno para ir con familia,1 de noviembre de 2020,40,"He ido dos veces y las dos veces han sido rápidos con al entrega de la comida. El único tema es que solo hay dos tipos de carne, ternera o cerdo. El precio es acordé al servicio","RANGO DE PRECIOS
$ 15.000 - $ 25.000
TIPOS DE COMIDA
Churrasquería, Colombiana, Parrillada, Parrilla
COMIDAS
Almuerzo, Bebidas"
85,La Casona de Luis,"Bueno, bonito y barato",22 de julio de 2019,50,"Entramos por casualidad y nos llevamos una muy grata sorpresa, buena comida, a buen precio y con muy buen servicio.","RANGO DE PRECIOS
$ 15.000 - $ 25.000
TIPOS DE COMIDA
Churrasquería, Colombiana, Parrillada, Parrilla
COMIDAS
Almuerzo, Bebidas"
86,La Casona de Luis,Madre bella,12 de mayo de 2019,50,"La comida sencillamente deliciosa. La morcilla ni de que hablar. El servicio muy bueno, super rapido. El restaurante muy bonito.","RANGO DE PRECIOS
$ 15.000 - $ 25.000
TIPOS DE COMIDA
Churrasquería, Colombiana, Parrillada, Parrilla
COMIDAS
Almuerzo, Bebidas"
87,La Casona de Luis,"""Buenísimo -Domingo en familia""",31 de julio de 2016,50,"La comida es Deliciosa! Los precios estan bien, La atención es buena! Recomendado! Ambiente familiar, parque, restaurante! Súper.","RANGO DE PRECIOS
$ 15.000 - $ 25.000
TIPOS DE COMIDA
Churrasquería, Colombiana, Parrillada, Parrilla
COMIDAS
Almuerzo, Bebidas"
88,La Casona de Luis,Nos gusto :),5 de julio de 2016,40,"La carne es muy deliciosa, el cuchuco con espinazo muy rico, las arepas de choclo deliciosas, bien atendidos , buen ambiente , el sitio es agradable, considero que seria bueno tener mas atracciones para niños ya que es pequeño.","RANGO DE PRECIOS
$ 15.000 - $ 25.000
TIPOS DE COMIDA
Churrasquería, Colombiana, Parrillada, Parrilla
COMIDAS
Almuerzo, Bebidas"
